"","price","vehicleType","gearbox","powerPS","kilometer","fuelType","age"
"4",1500,"compact","manuell",75,150000,"benzin",16
"5",3600,"compact","manuell",69,90000,"diesel",9
"7",2200,"cabrio","manuell",109,150000,"benzin",13
"15",17999,"suv","manuell",190,70000,"diesel",6
"18",1750,"compact","automatik",75,150000,"benzin",13
"21",10400,"coupe","manuell",160,100000,"benzin",8
"24",450,"compact","manuell",50,150000,"benzin",20
"30",690,"compact","manuell",60,150000,"benzin",14
"46",590,"compact","manuell",75,125000,"benzin",18
"57",39600,"coupe","automatik",306,30000,"benzin",3
"58",3000,"cabrio","automatik",61,80000,"benzin",11
"64",5500,"compact","manuell",60,70000,"benzin",7
"66",14999,"cabrio","manuell",218,50000,"benzin",10
"68",9700,"coupe","manuell",160,150000,"benzin",9
"69",2100,"suv","manuell",105,150000,"benzin",17
"74",750,"compact","manuell",50,150000,"benzin",15
"77",7999,"compact","manuell",80,40000,"benzin",4
"90",6800,"compact","manuell",82,60000,"benzin",8
"96",14500,"compact","manuell",86,60000,"benzin",4
"101",1700,"compact","automatik",102,125000,"benzin",18
"105",22999,"coupe","automatik",303,50000,"benzin",5
"114",8599,"cabrio","manuell",200,125000,"benzin",11
"119",3500,"coupe","manuell",160,150000,"benzin",26
"122",1699,"compact","manuell",77,150000,"benzin",14
"125",9290,"compact","manuell",86,40000,"benzin",7
"127",1199,"compact","manuell",60,150000,"benzin",17
"138",4800,"cabrio","manuell",116,150000,"benzin",21
"147",800,"compact","manuell",54,150000,"benzin",19
"149",41900,"suv","automatik",204,40000,"diesel",3
"152",1000,"compact","manuell",75,150000,"benzin",21
"159",9450,"cabrio","manuell",170,150000,"benzin",13
"175",3200,"compact","manuell",64,80000,"benzin",13
"177",2900,"coupe","automatik",170,150000,"benzin",17
"178",19750,"cabrio","manuell",305,50000,"benzin",11
"179",9800,"cabrio","manuell",150,60000,"benzin",11
"180",1990,"compact","manuell",80,125000,"benzin",14
"189",5999,"compact","manuell",80,125000,"benzin",8
"193",25000,"coupe","automatik",305,90000,"benzin",49
"208",6900,"cabrio","manuell",163,100000,"benzin",11
"214",500,"compact","manuell",75,150000,"benzin",23
"215",1200,"compact","manuell",45,150000,"benzin",15
"217",370,"compact","manuell",54,125000,"benzin",25
"220",8600,"coupe","manuell",197,150000,"diesel",10
"222",2222,"cabrio","manuell",98,150000,"benzin",26
"227",1450,"compact","manuell",75,150000,"benzin",18
"239",1150,"compact","manuell",75,150000,"benzin",17
"241",899,"coupe","manuell",102,150000,"benzin",22
"252",950,"compact","manuell",54,150000,"benzin",22
"255",500,"compact","manuell",56,150000,"benzin",18
"256",11919,"compact","automatik",90,30000,"benzin",5
"257",25900,"coupe","manuell",265,125000,"benzin",8
"259",10800,"compact","manuell",105,125000,"diesel",7
"262",1690,"compact","manuell",75,150000,"diesel",16
"274",48000,"coupe","automatik",265,80000,"diesel",3
"275",8400,"compact","manuell",201,70000,"benzin",8
"278",27500,"suv","automatik",224,150000,"diesel",8
"280",14900,"cabrio","manuell",170,70000,"benzin",13
"283",12000,"suv","manuell",101,150000,"diesel",6
"287",6000,"coupe","manuell",286,150000,"benzin",22
"288",8950,"compact","manuell",95,60000,"diesel",5
"291",18700,"coupe","automatik",213,80000,"benzin",8
"293",11550,"coupe","automatik",140,125000,"diesel",8
"296",16150,"suv","manuell",150,30000,"benzin",6
"298",3000,"coupe","manuell",179,150000,"benzin",17
"311",1000,"compact","manuell",107,150000,"benzin",18
"313",5299,"cabrio","manuell",220,150000,"benzin",15
"316",2300,"coupe","manuell",88,150000,"benzin",11
"320",4400,"compact","manuell",54,125000,"benzin",20
"322",16500,"coupe","manuell",265,150000,"benzin",10
"323",8100,"cabrio","automatik",170,150000,"benzin",13
"325",9750,"compact","automatik",75,60000,"benzin",4
"328",1195,"compact","automatik",54,125000,"benzin",18
"330",1849,"compact","manuell",54,90000,"benzin",18
"331",3300,"compact","automatik",41,125000,"diesel",11
"333",2600,"coupe","manuell",170,150000,"benzin",19
"337",1600,"compact","manuell",50,150000,"benzin",14
"338",8499,"cabrio","manuell",150,150000,"benzin",11
"349",3900,"compact","manuell",75,125000,"benzin",14
"351",13200,"suv","manuell",105,40000,"benzin",4
"353",2550,"compact","manuell",54,150000,"benzin",11
"360",8150,"compact","manuell",75,60000,"benzin",5
"361",3900,"coupe","manuell",192,125000,"benzin",13
"363",9999,"compact","manuell",90,20000,"benzin",3
"367",999,"cabrio","manuell",115,150000,"benzin",23
"371",16500,"coupe","manuell",218,150000,"benzin",34
"376",1490,"compact","manuell",60,100000,"benzin",17
"379",3400,"compact","manuell",54,70000,"benzin",11
"380",1100,"compact","manuell",58,150000,"benzin",15
"384",8250,"compact","manuell",69,80000,"benzin",5
"385",2500,"compact","manuell",115,150000,"benzin",17
"391",1100,"compact","manuell",60,60000,"benzin",17
"400",999,"compact","manuell",60,150000,"benzin",18
"406",500,"compact","manuell",45,150000,"benzin",22
"407",5555,"cabrio","automatik",71,90000,"benzin",7
"410",650,"compact","manuell",45,150000,"benzin",20
"412",444,"compact","manuell",45,150000,"benzin",22
"413",4650,"compact","manuell",73,70000,"benzin",8
"414",4450,"compact","manuell",97,70000,"benzin",10
"415",1999,"compact","manuell",65,80000,"benzin",14
